10045992042CHKJOHN DOE            ACTIVE  00045007500044507520260521
10045993081SAVJANE SMITH          FROZEN  00000000000000000020260115
10045994042CHKROBERT DROP TABLE   ACTIVE  00894502500894502520260522
10045995042CHKALEXANDER HAMILTON  ACTIVE  00001000000000500020260412
10045996115SAVELIZABETH SCHUYLER  ACTIVE  01250005001250005020260520
10045997081CHKAARON BURR          CLOSED  00000000000000000020251103
10045998012CHKMARQUIS DE LAFAYET  ACTIVE  00450000004100000220260519
10045999042CHKTOMAS JEFFERSON     ACTIVE  00085002500080002520260501
10046000081SAVJAMES MADISON       ACTIVE  00022457500022457520260328
10046001115CHKANGELICA CHURCH     ACTIVE  05500000005500000020260515
10046002042CHKPETER PARKER        ACTIVE  00000014500000005020260522
10046003012SAVTONY STARK          ACTIVE  99985000099985000020260522
10046004081CHKSTEVE ROGERS        ACTIVE  00000502500000002520260214
10046005115SAVBRUCE BANNER        FROZEN  00004500000000000020260430
10046006042CHKNATASHA ROMANOFF    ACTIVE  00520000005200000020260518
10046007012CHKCLINT BARTON        ACTIVE  00018500000018500020260512
10046008081SAVWANDA MAXIMOFF      ACTIVE  00009405000009405020260505
10046009115CHKVISION              ACTIVE  10000000010000000020260522
10046010042CHKSAM WILSON          ACTIVE  00003200000002500020260519
10046011012SAVBUCKY BARNES        ACTIVE  00011050000011050020260510
10046012081CHKSCOTT LANG          ACTIVE  00000042000000042020260501
10046013115SAVHOPE VAN DYNE       ACTIVE  02500000002500000020260521
10046014042CHKT CHALLA            ACTIVE  85000000085000000020260522
10046015012SAVCAROL DANVERS       ACTIVE  05000000005000000020260520
10046016081CHKPETER QUILL         ACTIVE  00000125000000000020260418
10046017115SAVSTEPHEN STRANGE     ACTIVE  00150000000120000020260514
10046018042CHKWONG                ACTIVE  00000025000000025020260511
10046019012SAVBRUNNHILDE          ACTIVE  00034000000034000020260509
10046020081CHKMATT MURDOCK        ACTIVE  00000150000000125020260516
10046021115SAVLUKE CAGE           ACTIVE  00000850000000850020260502
